date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-08-18,"2,456.96","2,456.96","2,404.41","2,416.98","1,632,610,000.00","2,416.98",ggg
2008-08-19,"2,404.95","2,410.96","2,376.67","2,384.36","1,716,280,000.00","2,384.36",ggg
2008-08-20,"2,396.58","2,408.68","2,372.34","2,389.08","1,746,470,000.00","2,389.08",ggg
2008-08-21,"2,371.54","2,387.72","2,360.39","2,380.38","1,562,430,000.00","2,380.38",ggg
2008-08-22,"2,390.34","2,417.63","2,390.34","2,414.71","1,365,910,000.00","2,414.71",ggg
2008-08-25,"2,399.73","2,399.73","2,362.20","2,365.59","2,366,920,000.00","2,365.59",ggg
2008-08-26,"2,364.31","2,377.04","2,345.79","2,361.97","1,256,980,000.00","2,361.97",ggg
2008-08-27,"2,362.86","2,395.02","2,358.93","2,382.46","1,540,700,000.00","2,382.46",ggg
2008-08-28,"2,390.11","2,412.84","2,388.55","2,411.64","1,582,680,000.00","2,411.64",ggg
2008-08-29,"2,388.67","2,393.49","2,360.91","2,367.52","1,559,030,000.00","2,367.52",ggg
2008-09-02,"2,402.11","2,413.11","2,338.37","2,349.24","2,010,580,000.00","2,349.24",ggg
2008-09-03,"2,346.81","2,357.43","2,320.91","2,333.73","2,062,140,000.00","2,333.73",ggg
2008-09-04,"2,315.18","2,317.32","2,259.04","2,259.04","2,332,320,000.00","2,259.04",ggg
2008-09-05,"2,241.62","2,264.35","2,216.99","2,255.88","2,261,030,000.00","2,255.88",ggg
2008-09-08,"2,296.18","2,303.89","2,236.97","2,269.76","2,566,300,000.00","2,269.76",ggg
2008-09-09,"2,269.93","2,285.54","2,209.81","2,209.81","2,590,590,000.00","2,209.81",ggg
2008-09-10,"2,232.21","2,247.63","2,209.59","2,228.70","2,250,360,000.00","2,228.70",ggg
2008-09-11,"2,199.03","2,259.25","2,191.53","2,258.22","2,269,670,000.00","2,258.22",ggg
2008-09-12,"2,239.25","2,268.83","2,228.00","2,261.27","1,973,590,000.00","2,261.27",ggg
2008-09-15,"2,202.28","2,244.88","2,179.91","2,179.91","2,697,820,000.00","2,179.91",ggg
2008-09-16,"2,149.65","2,214.29","2,145.17","2,207.90","3,187,630,000.00","2,207.90",ggg
2008-09-17,"2,177.58","2,183.25","2,098.85","2,098.85","3,102,010,000.00","2,098.85",ggg
2008-09-18,"2,137.42","2,201.71","2,070.22","2,199.10","3,867,290,000.00","2,199.10",ggg
2008-09-19,"2,303.90","2,318.43","2,239.73","2,273.90","3,898,230,000.00","2,273.90",ggg
2008-09-22,"2,265.77","2,266.45","2,178.98","2,178.98","1,881,160,000.00","2,178.98",ggg
2008-09-23,"2,190.71","2,209.62","2,151.77","2,153.33","1,974,180,000.00","2,153.33",ggg
2008-09-24,"2,167.55","2,179.93","2,147.36","2,155.68","1,818,170,000.00","2,155.68",ggg
2008-09-25,"2,172.26","2,210.74","2,167.06","2,186.57","1,846,330,000.00","2,186.57",ggg
2008-09-26,"2,144.06","2,187.53","2,136.85","2,183.34","1,949,200,000.00","2,183.34",ggg
2008-09-29,"2,147.16","2,152.69","1,983.73","1,983.73","2,808,100,000.00","1,983.73",ggg
2008-09-30,"2,033.69","2,094.31","2,015.93","2,091.88","2,376,240,000.00","2,091.88",ggg
2008-10-01,"2,075.10","2,083.20","2,046.06","2,069.40","1,899,330,000.00","2,069.40",ggg
2008-10-02,"2,052.51","2,056.43","1,975.00","1,976.72","2,173,750,000.00","1,976.72",ggg
2008-10-03,"2,005.92","2,046.81","1,947.19","1,947.39","2,501,480,000.00","1,947.39",ggg
2008-10-06,"1,898.63","1,905.01","1,777.02","1,862.96","3,502,250,000.00","1,862.96",ggg
2008-10-07,"1,867.97","1,886.35","1,754.88","1,754.88","2,825,810,000.00","1,754.88",ggg
2008-10-08,"1,710.96","1,806.89","1,706.86","1,740.33","3,516,070,000.00","1,740.33",ggg
2008-10-09,"1,766.25","1,787.41","1,634.88","1,645.12","2,622,310,000.00","1,645.12",ggg
2008-10-10,"1,590.77","1,690.77","1,542.45","1,649.51","4,164,090,000.00","1,649.51",ggg
2008-10-13,"1,734.60","1,844.25","1,715.74","1,844.25","2,665,690,000.00","1,844.25",ggg
2008-10-14,"1,894.87","1,896.95","1,752.89","1,779.01","2,912,850,000.00","1,779.01",ggg
2008-10-15,"1,754.62","1,761.23","1,628.33","1,628.33","2,540,180,000.00","1,628.33",ggg
2008-10-16,"1,644.55","1,717.72","1,565.72","1,717.71","3,331,040,000.00","1,717.71",ggg
2008-10-17,"1,678.78","1,782.58","1,670.28","1,711.29","2,711,030,000.00","1,711.29",ggg
2008-10-20,"1,735.13","1,770.05","1,698.01","1,770.03","2,021,750,000.00","1,770.03",ggg
2008-10-21,"1,741.84","1,768.54","1,695.12","1,696.68","2,099,810,000.00","1,696.68",ggg
2008-10-22,"1,671.23","1,678.71","1,587.22","1,615.75","2,560,810,000.00","1,615.75",ggg
2008-10-23,"1,621.11","1,645.50","1,533.55","1,603.91","3,104,700,000.00","1,603.91",ggg
